category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,7/409,105/9500,0.06666666666666667,1.5484922575387123,1.1987028220589087,0.1662341694308811,0.6100866752979441,0.5533391229117401,ERC1/UBE2I/PRKCB/PLCG2/BCL2/IL1R1/XIAP,7
Cellular Processes,Cellular community - eukaryotes,hsa04550,Signaling pathways regulating pluripotency of stem cells,9/409,144/9500,0.0625,1.4517114914425429,1.158489354866676,0.1680788441472155,0.6100866752979441,0.5533391229117401,PCGF5/IGF1R/WNT3/SMAD2/ACVR1/BMPR2/LIFR/IL6ST/JARID2,9
Human Diseases,Infectious disease: viral,hsa05166,Human T-cell leukemia virus 1 infection,13/409,224/9500,0.05803571428571429,1.3480178134823613,1.1179950540487447,0.16882901706358203,0.6100866752979441,0.5533391229117401,HLA-F/IL15RA/ANAPC16/B2M/ADCY7/SMAD2/IL1R1/EP300/DLG1/CREB5/TGFBR1/ANAPC2/XIAP,13
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,7/409,106/9500,0.0660377358490566,1.5338838400147623,1.1723821545273934,0.17189545776404666,0.6141882648198521,0.5570592007965558,ATP2B4/RYR2/PRKCB/ADCY7/ATP1B2/PRKCA/RAB27B,7
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,8/409,128/9500,0.0625,1.4517114914425429,1.0913015018482362,0.1864285417869476,0.6545552976795543,0.5936714715796024,AK4/AK5/NT5C2/PDE3A/ADCY7/CANT1/PDE4D/PDE10A,8
Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,10/409,168/9500,0.05952380952380952,1.3825823728024218,1.0611749783515336,0.18787138059463837,0.6545552976795543,0.5936714715796024,LEPR/IL15RA/SOCS7/BCL2/IL12RB1/IFNAR1/EP300/IL20RB/LIFR/IL6ST,10
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,7/409,109/9500,0.06422018348623854,1.4916668535923376,1.0950224632364502,0.1893681993286761,0.6545552976795543,0.5936714715796024,TBC1D4/SLC27A2/PRKCB/SLC27A1/TRIB3/RPS6KA2/CREB5,7
Organismal Systems,Immune system,hsa04062,Chemokine signaling pathway,11/409,193/9500,0.05699481865284974,1.323840531056412,0.9640504673814457,0.21000311111674297,0.6736436041563997,0.6109842685827658,GNB1/PARD3/GNB5/PRKCB/ADCY7/PLCG2/GNG7/ROCK2/PREX1/ELMO1/VAV2,11
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,6/409,93/9500,0.06451612903225806,1.4985408943923022,1.0247347400881992,0.2111752239236134,0.6736436041563997,0.6109842685827658,CACNA1C/CACNA1S/PRKCB/ADCY7/PRKCA/PLD1,6
Metabolism,Lipid metabolism,hsa00600,Sphingolipid metabolism,4/409,55/9500,0.07272727272727272,1.6892642809513225,1.0873288358955355,0.21122674516022505,0.6736436041563997,0.6109842685827658,CERS2/SGMS1/SPTLC2/PLPP1,4
Genetic Information Processing,Replication and repair,hsa03460,Fanconi anemia pathway,4/409,55/9500,0.07272727272727272,1.6892642809513225,1.0873288358955355,0.21122674516022505,0.6736436041563997,0.6109842685827658,FAN1/RAD51/RMI2/POLK,4
Organismal Systems,Environmental adaptation,hsa04714,Thermogenesis,13/409,235/9500,0.05531914893617021,1.2849191073193569,0.9380534029150848,0.2132532595053282,0.6736436041563997,0.6109842685827658,SDHC/PRKG1/TSC2/ADCY7/RPTOR/PPARG/SMARCC1/MGLL/MAP3K5/ARID1B/RPS6KA2/CREB5/NDUFAF6,13
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,10/409,174/9500,0.05747126436781609,1.3349071185678556,0.9456840543867427,0.21706959090489097,0.6736436041563997,0.6109842685827658,LGR6/WIF1/PRKCB/WNT3/PRKCA/ROCK2/TPTEP2-CSNK1E/EP300/FBXW11/INVS,10
Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,5/409,75/9500,0.06666666666666667,1.5484922575387123,1.0114751622384444,0.22086428928406793,0.6736436041563997,0.6109842685827658,BCL2/MSH3/MAP3K5/SLC31A1/XIAP,5
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,5/409,75/9500,0.06666666666666667,1.5484922575387123,1.0114751622384444,0.22086428928406793,0.6736436041563997,0.6109842685827658,PRKCB/ADCY7/ATP1B2/PRKCA/CREB5,5
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,16/409,300/9500,0.05333333333333334,1.23879380603097,0.8914244469721471,0.22190293890518462,0.6736436041563997,0.6109842685827658,CACNA1C/CACNA1S/DUSP8/NTF3/IGF1R/MAPK8IP3/PRKCB/TAOK1/PRKCA/MAP4K4/IL1R1/CACNA2D2/CACNA2D3/MAP3K5/RPS6KA2/TGFBR1,16
Metabolism,Metabolism of cofactors and vitamins,hsa00760,Nicotinate and nicotinamide metabolism,3/409,38/9500,0.07894736842105263,1.8337408312958434,1.0922603442730756,0.22360683640840087,0.6736436041563997,0.6109842685827658,NT5C2/SIRT2/NMRK1,3
Organismal Systems,Excretory system,hsa04960,Aldosterone-regulated sodium reabsorption,3/409,38/9500,0.07894736842105263,1.8337408312958434,1.0922603442730756,0.22360683640840087,0.6736436041563997,0.6109842685827658,PRKCB/ATP1B2/PRKCA,3
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,11/409,196/9500,0.05612244897959184,1.3035776657851403,0.9108728787012226,0.22420426924821668,0.6736436041563997,0.6109842685827658,HLA-F/GNB1/GNB5/PLCG2/PIK3C3/GNG7/MAP1LC3A/PREX1/IFNAR1/EP300/IL6ST,11
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,13/409,238/9500,0.0546218487394958,1.2687226479833986,0.8905024723058784,0.22618420527844152,0.6736436041563997,0.6109842685827658,GNB1/PLCE1/NTF3/RASA3/GNB5/IGF1R/PRKCB/PLCG2/PRKCA/GNG7/RALGAPA2/PLA2G6/PLD1,13
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,2/409,21/9500,0.09523809523809523,2.2121317964838747,1.1794322489697113,0.22811590975801724,0.6736436041563997,0.6109842685827658,CHST3/CHST11,2
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,5/409,76/9500,0.06578947368421052,1.528117359413203,0.9804249834324845,0.22878462027953195,0.6736436041563997,0.6109842685827658,SORBS1/SLC27A2/SLC27A1/PPARG/PLIN2,5
Human Diseases,Cancer: specific types,hsa05214,Glioma,5/409,76/9500,0.06578947368421052,1.528117359413203,0.9804249834324845,0.22878462027953195,0.6736436041563997,0.6109842685827658,IGF1R/PRKCB/PLCG2/PRKCA/POLK,5
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,9/409,157/9500,0.05732484076433121,1.3315060813230968,0.8883680288242523,0.23526104213472945,0.6845284408482506,0.6208566461185722,DOCK1/ANO9/DUSP8/STAB2/MERTK/PLA2G6/PPARG/ELMO1/XKR6,9
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,5/409,77/9500,0.06493506493506493,1.5082716794208235,0.9498203010012407,0.23678656758901748,0.6845284408482506,0.6208566461185722,RAD51/SMAD2/PLD1/POLK/TGFBR1,5
Environmental Information Processing,Signal transduction,hsa04150,mTOR signaling pathway,9/409,158/9500,0.056962025316455694,1.3230788276438363,0.8685841083856227,0.24079866162207902,0.6898556251875777,0.6256883194352741,IGF1R/TSC2/PRKCB/WNT3/PRKCA/RPTOR/SEH1L/ATP6V1C2/RPS6KA2,9
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,5/409,78/9500,0.0641025641025641,1.4889348630179924,0.9196477775615474,0.24486510514342327,0.6922643506628684,0.6278729959669843,ITPK1/PLCE1/PIK3C2G/PLCG2/PIK3C3,5
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,11/409,201/9500,0.05472636815920398,1.2711503606661072,0.8241093856029638,0.24868908067650933,0.6922643506628684,0.6278729959669843,ZBTB16/KMT2A/FLI1/PML/SIN3A/ARNT2/IGF1R/TMPRSS2/PPARG/POLK/KDM6A,11
Organismal Systems,Nervous system,hsa04721,Synaptic vesicle cycle,5/409,79/9500,0.06329113924050633,1.4700875862709295,0.8898946493697575,0.25301520185485676,0.6922643506628684,0.6278729959669843,ATP6V0D1/ATP6V1C2/SLC6A1/CLTB/CLTA,5
Genetic Information Processing,Replication and repair,hsa03440,Homologous recombination,3/409,41/9500,0.07317073170731707,1.6995646729083427,0.9521205847199536,0.2584619451097762,0.6922643506628684,0.6278729959669843,RAD52/RAD51B/RAD51,3
Organismal Systems,Nervous system,hsa04722,Neurotrophin signaling pathway,7/409,120/9500,0.058333333333333334,1.3549307253463732,0.8299034488689306,0.25883996755176614,0.6922643506628684,0.6278729959669843,YWHAE/NTF3/PLCG2/BCL2/KIDINS220/MAP3K5/RPS6KA2,7
Metabolism,Glycan biosynthesis and metabolism,hsa00515,Mannose type O-glycan biosynthesis,2/409,23/9500,0.08695652173913043,2.019772509833103,1.0385479363419843,0.26047549362590383,0.6922643506628684,0.6278729959669843,LARGE1/B4GALT1,2
Genetic Information Processing,Replication and repair,hsa03430,Mismatch repair,2/409,23/9500,0.08695652173913043,2.019772509833103,1.0385479363419843,0.26047549362590383,0.6922643506628684,0.6278729959669843,RFC1/MSH3,2
Organismal Systems,Endocrine system,hsa04614,Renin-angiotensin system,2/409,23/9500,0.08695652173913043,2.019772509833103,1.0385479363419843,0.26047549362590383,0.6922643506628684,0.6278729959669843,NLN/LNPEP,2
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,5/409,80/9500,0.0625,1.4517114914425429,0.8605486945543472,0.26123183043881826,0.6922643506628684,0.6278729959669843,IGF1R/PRKCB/PLCG2/PRKCA/BCL2,5
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,6/409,101/9500,0.0594059405940594,1.379844585925585,0.8139928153996127,0.2683061481988428,0.7044067103311519,0.6388859272781716,PRKCB/ADCY7/GNAO1/WNT3/PRKCA/EP300,6
Metabolism,Amino acid metabolism,hsa00380,Tryptophan metabolism,3/409,42/9500,0.07142857142857142,1.659098847362906,0.9079675165147852,0.2702440838377375,0.7044067103311519,0.6388859272781716,ALDH2/IL4I1/IDO1,3
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,4/409,62/9500,0.06451612903225806,1.4985408943923022,0.8353171839262283,0.27721203522772864,0.716694530100957,0.6500307886384052,JAG1/ITCH/EP300/ATXN1,4
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,3/409,43/9500,0.06976744186046512,1.6205151532381874,0.8649772673821267,0.2820842737038592,0.7184387047781041,0.6516127279351226,SCARB1/SLC27A1/PLPP1,3
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,6/409,103/9500,0.05825242718446602,1.3530514871697485,0.7641116357862978,0.2831713082349733,0.7184387047781041,0.6516127279351226,SGMS1/AGPAT3/PLA2G6/PLD1/PLPP1/PNPLA7,6
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,9/409,166/9500,0.05421686746987952,1.2593159925766637,0.714898220730349,0.28660942354931124,0.7184387047781041,0.6516127279351226,CACNA1C/CACNA1S/ATP2B4/PRKG1/PDE3A/ADCY7/ATP1B2/ROCK2/CREB5,9
Metabolism,Amino acid metabolism,hsa00310,Lysine degradation,4/409,63/9500,0.06349206349206349,1.4747545309892498,0.8018944070656311,0.28692363366924284,0.7184387047781041,0.6516127279351226,PRDM2/KMT2A/ALDH2/EHMT1,4
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,6/409,105/9500,0.05714285714285714,1.327279077890325,0.7152523100843965,0.2982138316891706,0.7382561586771974,0.6695868503063624,COL4A2/ATP1B2/DPP4/COL5A2/COL21A1/COL26A1,6
