ONTOLOGY,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0032956,regulation of actin cytoskeleton organization,23/829,348/18805,0.06609195402298851,1.4992270149605536,2.0186591806368606,0.0353680674421399,0.4228639037626472,0.39750666363192766,ARHGAP17/PROX1/SVIL/SSH3/DIXDC1/TMOD2/TMOD3/CGNL1/TAOK1/SSH2/GMFG/ROCK2/NCK2/ABI2/PREX1/BAIAP2L2/CELSR1/SHANK3/DLG1/SLIT2/SEMA5A/DLC1/TGFBR1,23
BP,GO:0002064,epithelial cell development,16/829,221/18805,0.07239819004524888,1.6422773990360737,2.0625526111804033,0.03593388733399859,0.4228639037626472,0.39750666363192766,CLIC4/PROX1/VCL/BMAL1/MYO1E/ROCK2/EPAS1/PROC/ABI2/JAG1/MAGI1/IL6ST/PDE4D/MAGI2/ZDHHC21/B4GALT1,16
BP,GO:0006473,protein acetylation,6/829,56/18805,0.10714285714285714,2.4304239186627603,2.3021073917510337,0.03606930113361328,0.4228639037626472,0.39750666363192766,BMAL1/PML/TAOK1/EP300/NAA50/DDX3X,6
BP,GO:0007528,neuromuscular junction development,6/829,56/18805,0.10714285714285714,2.4304239186627603,2.3021073917510337,0.03606930113361328,0.4228639037626472,0.39750666363192766,CACNA1S/PPFIBP1/SPG11/AFG3L2/LARGE1/CACNA2D2,6
BP,GO:0051222,positive regulation of protein transport,18/829,257/18805,0.07003891050583658,1.5887596044176802,2.0408537308998143,0.03615292114105658,0.4228639037626472,0.39750666363192766,YWHAE/MCU/F2/ANO1/CTDSPL2/PRKCB/VPS35/MYO18A/PRKCA/CEP131/MYOM1/PLA2G6/EP300/EDEM1/PPARG/PPIA/UBR5/ANP32B,18
BP,GO:0002360,T cell lineage commitment,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,BCL2/IL12RB1/EP300/IL6ST/BRD2,5
BP,GO:0006476,protein deacetylation,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,SIRT2/HDAC4/DYRK1A/EP300/HDAC9,5
BP,GO:0009126,purine nucleoside monophosphate metabolic process,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,AK4/MAGI3/NT5C2/DLG2/DLG1,5
BP,GO:0019933,cAMP-mediated signaling,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,PDE3A/PDE4D/CGAS/OPRM1/PDE10A,5
BP,GO:0031146,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,FBXL20/WWTR1/FBXL7/FBXW11/FBXL13,5
BP,GO:0051955,regulation of amino acid transport,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,SLC43A2/PRKG1/SLC43A1/GRM7/SLC6A1,5
BP,GO:0060391,positive regulation of SMAD protein signal transduction,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,ACVRL1/ACVR1/BMPR2/KIAA0319/TGFBR1,5
BP,GO:0099622,cardiac muscle cell membrane repolarization,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,YWHAE/ZMPSTE24/NOS1AP/DLG1/ANK2,5
BP,GO:1903115,regulation of actin filament-based movement,5/829,42/18805,0.11904761904761904,2.7004710207364004,2.3691829463012852,0.03637061032990615,0.4228639037626472,0.39750666363192766,CACNA1C/RYR2/DLG1/ANK2/PDE4D,5
BP,GO:0007162,negative regulation of cell adhesion,21/829,312/18805,0.0673076923076923,1.5268047694163496,2.0150191004337556,0.03642551703135887,0.4228639037626472,0.39750666363192766,DLG5/EPHB2/PRKG1/SCGB1A1/ACVRL1/PLXNC1/ADAMTS18/CDH13/MBP/ACTN4/IL4I1/MAP4K4/DAPL1/JAG1/ITCH/IL20RB/DLG1/SEMA5A/DLC1/IDO1/AKNA,21
BP,GO:0010455,positive regulation of cell fate commitment,3/829,17/18805,0.17647058823529413,4.00305116015043,2.6601294588899598,0.03657938371266243,0.4228639037626472,0.39750666363192766,IL12RB1/EP300/BRD2,3
BP,GO:0048532,anatomical structure arrangement,3/829,17/18805,0.17647058823529413,4.00305116015043,2.6601294588899598,0.03657938371266243,0.4228639037626472,0.39750666363192766,TFAP2A/SEMA3A/PLXNA4,3
BP,GO:0035107,appendage morphogenesis,12/829,152/18805,0.07894736842105263,1.7908386769094025,2.102283136095692,0.03674376656694346,0.4228639037626472,0.39750666363192766,CACNA1C/ERRFI1/NFIA/ZBTB16/CHST11/MOSMO/WNT3/WDPCP/LARGE1/MBNL1/TFAP2A/IQCE,12
BP,GO:0035108,limb morphogenesis,12/829,152/18805,0.07894736842105263,1.7908386769094025,2.102283136095692,0.03674376656694346,0.4228639037626472,0.39750666363192766,CACNA1C/ERRFI1/NFIA/ZBTB16/CHST11/MOSMO/WNT3/WDPCP/LARGE1/MBNL1/TFAP2A/IQCE,12
BP,GO:0002295,T-helper cell lineage commitment,4/829,29/18805,0.13793103448275862,3.128821596439416,2.463727010779232,0.037087244018527254,0.4228639037626472,0.39750666363192766,IL12RB1/EP300/IL6ST/BRD2,4
BP,GO:0010039,response to iron ion,4/829,29/18805,0.13793103448275862,3.128821596439416,2.463727010779232,0.037087244018527254,0.4228639037626472,0.39750666363192766,B2M/BCL2/MAP1LC3A/TFAP2A,4
BP,GO:0021952,central nervous system projection neuron axonogenesis,4/829,29/18805,0.13793103448275862,3.128821596439416,2.463727010779232,0.037087244018527254,0.4228639037626472,0.39750666363192766,EPHB2/SPG11/SLIT2/PLXNA4,4
BP,GO:0061744,motor behavior,4/829,29/18805,0.13793103448275862,3.128821596439416,2.463727010779232,0.037087244018527254,0.4228639037626472,0.39750666363192766,SPG11/ATP1B2/DPP4/VPS13A,4
BP,GO:0099003,vesicle-mediated transport in synapse,18/829,258/18805,0.06976744186046512,1.5826016214548209,2.0234876719941512,0.03733634345483028,0.42471178568664747,0.39924373641553274,RNF220/EPS15/BRSK2/SYT13/PRKCB/VPS35/ATP6V0D1/FBXL20/PIK3C3/RAB27B/ITSN2/OTOF/PREPL/AAK1/PLD1/CLTB/ABCA13/CLTA,18
BP,GO:0008154,actin polymerization or depolymerization,14/829,187/18805,0.0748663101604278,1.6982641285486668,2.0607716873438964,0.037566523145252224,0.42580168603017415,0.40026828035364515,SVIL/SSH3/DIAPH3/TMOD2/TMOD3/SSH2/NCK2/ABI2/PREX1/MICAL3/BAIAP2L2/DLG1/SLIT2/SEMA5A,14
BP,GO:0048678,response to axon injury,8/829,87/18805,0.09195402298850575,2.085881064292944,2.180057867044253,0.037871527212777124,0.42580168603017415,0.40026828035364515,CERS2/IGF1R/MAPK8IP3/PLCG2/BCL2/KCNB1/KIAA0319/MATN2,8
BP,GO:0048864,stem cell development,8/829,87/18805,0.09195402298850575,2.085881064292944,2.180057867044253,0.037871527212777124,0.42580168603017415,0.40026828035364515,SEMA6D/MSI2/BCL2/ACVR1/JAG1/SEMA5A/ARB2A/SEMA3A,8
BP,GO:0120193,tight junction organization,8/829,87/18805,0.09195402298850575,2.085881064292944,2.180057867044253,0.037871527212777124,0.42580168603017415,0.40026828035364515,NPHP4/EPHB2/PARD3/ACVRL1/ROCK2/CLDN16/DLG1/TGFBR1,8
BP,GO:1901379,regulation of potassium ion transmembrane transport,8/829,87/18805,0.09195402298850575,2.085881064292944,2.180057867044253,0.037871527212777124,0.42580168603017415,0.40026828035364515,YWHAE/NOS1AP/ATP1B2/KCNAB1/DLG1/KCNIP4/ANK2/KCNIP1,8
