"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Change"
"ENSG00000151461.20",1891.14243635876,-0.0246562663153401,0.168696376930282,-0.14615765177654,0.883796935470175,0.999991842068806,"Stable"
"ENSG00000112367.12",691.590566689605,-0.0338429195636672,0.231592923077224,-0.146131060975392,0.883817926493704,0.999991842068806,"Stable"
"ENSG00000104863.12",22.8409617631621,-0.07579981564236,0.518728368187379,-0.146126219985291,0.883821748024689,0.999991842068806,"Stable"
"ENSG00000010256.11",2540.60199705987,-0.0222992538696722,0.152636222463624,-0.146094115209033,0.883847091957611,0.999991842068806,"Stable"
"ENSG00000178217.15",5.7750834752019,0.219109012168897,1.50053608995215,0.14602048803497,0.883905214666715,NA,"Stable"
"ENSG00000277462.2",173.86097515463,0.0673989690380984,0.461603436635583,0.146010544309069,0.883913064483338,0.999991842068806,"Stable"
"ENSG00000108700.5",1.03803228777966,0.482158189582837,3.30334248882464,0.145960702292905,0.883952411142574,NA,"Stable"
"ENSG00000184374.3",19.6758366179802,-0.16445675722881,1.1269344511127,-0.14593285090045,0.883974397922934,0.999991842068806,"Stable"
"ENSG00000290999.1",25.7342319144084,-0.15786318857091,1.0817671433844,-0.145930840603109,0.883975984919436,0.999991842068806,"Stable"
"ENSG00000234810.4",1.26745565443077,0.323801962282217,2.21993651079115,0.145860911205437,0.8840311898335,NA,"Stable"
"ENSG00000110047.18",3537.62770091936,-0.0767571779689909,0.526366416329033,-0.145824611122245,0.884059846715533,0.999991842068806,"Stable"
"ENSG00000151116.17",949.424238065269,0.0315943745416842,0.216680422552224,0.145810932845441,0.88407064498812,0.999991842068806,"Stable"
"ENSG00000168228.16",281.493368267518,-0.0367452089389225,0.252236268339848,-0.145677737705088,0.884175796598237,0.999991842068806,"Stable"
"ENSG00000005206.17",1094.03461683831,-0.0504591620653208,0.346423074618222,-0.145657624339631,0.884191675378653,0.999991842068806,"Stable"
"ENSG00000164107.9",7.00384841059896,-0.236419586314026,1.62370441006285,-0.145605065089941,0.884233169240198,NA,"Stable"
"ENSG00000088882.8",7.63483754276456,-0.210700384509666,1.44754356187053,-0.145557197765707,0.884270959251623,NA,"Stable"
"ENSG00000145191.15",1424.86714782655,0.0205298971043007,0.141082643639734,0.145516816063679,0.884302839763156,0.999991842068806,"Stable"
"ENSG00000143869.7",3368.1831658485,0.266516996319125,1.83154268425941,0.145515034189275,0.88430424652015,0.999991842068806,"Stable"
"ENSG00000164438.6",1.16329197804059,-0.323654743212278,2.22433098620392,-0.145506556901692,0.88431093918742,NA,"Stable"
"ENSG00000185304.16",22.7044056119502,0.351032310842408,2.41262967376062,0.145497800454077,0.884317852255221,0.999991842068806,"Stable"
"ENSG00000254340.2",5.94648627021155,0.271220358718823,1.86470278468537,0.145449645351705,0.884355870054272,NA,"Stable"
"ENSG00000185238.13",489.257208395669,-0.0649524577811096,0.446764875566818,-0.14538398458183,0.884407708769033,0.999991842068806,"Stable"
"ENSG00000289429.1",22.7746001152821,0.210206771983227,1.4461563671031,0.145355493199056,0.884430202668768,0.999991842068806,"Stable"
"ENSG00000156966.7",339.584867568423,0.260838825798546,1.79458084789066,0.145348049437357,0.884436079521708,0.999991842068806,"Stable"
"ENSG00000276728.2",18.7681666412571,0.101251026471098,0.696740158243459,0.145321071669474,0.88445737853389,0.999991842068806,"Stable"
"ENSG00000235159.2",0.590041042874608,0.279555611692788,1.92396198297714,0.145302045553002,0.884472399748501,NA,"Stable"
"ENSG00000184378.3",26.4364845792052,-0.143551293171375,0.988414606684615,-0.145233884850085,0.884526213306967,0.999991842068806,"Stable"
"ENSG00000113643.9",2406.07365881245,0.0378779164354246,0.260835840604516,0.145217453044943,0.884539186461605,0.999991842068806,"Stable"
"ENSG00000144218.21",42.0571033687571,0.208719319568491,1.43740273759264,0.145205873141757,0.884548328986056,0.999991842068806,"Stable"
"ENSG00000002822.16",720.550331842027,0.0461117429644952,0.317605219335708,0.145185721635624,0.884564238968983,0.999991842068806,"Stable"
"ENSG00000287222.1",33.3358176231407,0.101320067006598,0.698065725169051,0.145144022050447,0.884597161702524,0.999991842068806,"Stable"
"ENSG00000049246.15",267.746727467159,0.0576844291308487,0.397490592167384,0.145121495370028,0.884614947091774,0.999991842068806,"Stable"
"ENSG00000088836.14",674.965457979828,0.105294593543466,0.725595007777709,0.145114826335359,0.884620212476047,0.999991842068806,"Stable"
"ENSG00000156873.16",375.748766201985,-0.0287437838714016,0.198091902118022,-0.145103275621414,0.884629332090948,0.999991842068806,"Stable"
"ENSG00000108176.15",67.1731362383577,-0.220873605084598,1.52280187244207,-0.145044216901566,0.884675960857187,0.999991842068806,"Stable"
"ENSG00000213145.10",32.4722295503703,-0.206653976189867,1.42550162541412,-0.144969302388436,0.88473510885884,0.999991842068806,"Stable"
"ENSG00000152402.11",48.3414929682356,-0.109430007001737,0.754923518008336,-0.144955090669898,0.884746329651016,0.999991842068806,"Stable"
"ENSG00000291107.1",54.0802694294958,0.109145780099474,0.753008512460857,0.144946276560384,0.884753288799262,0.999991842068806,"Stable"
"ENSG00000185052.13",10.3137186191111,0.254298361466043,1.75493605806903,0.144904630739566,0.884786170226502,NA,"Stable"
"ENSG00000186073.14",191.035904560112,-0.0939389585916992,0.648681405235406,-0.144815248030131,0.884856742948983,0.999991842068806,"Stable"
"ENSG00000132155.14",2689.56820871998,-0.0160650477704243,0.111039807899133,-0.144678274164681,0.884964893362794,0.999991842068806,"Stable"
"ENSG00000196391.11",57.908932501638,-0.0793028896166267,0.548231550043513,-0.144652181382725,0.884985495675895,0.999991842068806,"Stable"
"ENSG00000120937.9",20.9878863691586,-0.179423362816296,1.24062642636679,-0.144623199218594,0.885008379475683,0.999991842068806,"Stable"
"ENSG00000050767.18",2.06660911055436,-0.551853912060753,3.81784028251038,-0.144546097066661,0.885069258426391,NA,"Stable"
"ENSG00000156218.13",372.927347269929,-0.261214074176351,1.80802007871418,-0.144475206471225,0.885125233403984,0.999991842068806,"Stable"
"ENSG00000197361.8",1.57251009610235,-0.207824354767934,1.43862839936356,-0.144460066866381,0.885137187659748,NA,"Stable"
"ENSG00000131759.18",1038.32728941066,-0.032158457142067,0.222765341333486,-0.144360235526607,0.885216015296918,0.999991842068806,"Stable"
"ENSG00000070413.21",2712.91616215029,0.0300429566057588,0.20821345760462,0.144289216227358,0.885272093404345,0.999991842068806,"Stable"
"ENSG00000285744.1",71.0063493030927,-0.142261768054211,0.986006174604625,-0.14428080849621,0.885278732337109,0.999991842068806,"Stable"
"ENSG00000163040.15",157.612252813761,0.139421391594118,0.966528622720136,0.144249625222416,0.885303355418614,0.999991842068806,"Stable"
"ENSG00000254812.3",1.13644488031088,0.492804370356333,3.41673211837747,0.144232662462972,0.885316749678036,NA,"Stable"
"ENSG00000272168.10",204.488194027367,-0.162545497717509,1.12817282215215,-0.144078544107657,0.885438447253267,0.999991842068806,"Stable"
"ENSG00000118263.16",1816.08930371617,0.0331874854713966,0.230504079443712,0.143977866038162,0.885517947854192,0.999991842068806,"Stable"
"ENSG00000173258.13",67.0620469928331,-0.0694118698438766,0.482174929030871,-0.143955783813539,0.885535385272822,0.999991842068806,"Stable"
"ENSG00000167840.14",116.63448718634,-0.0699922917946908,0.486283077964919,-0.143933225247333,0.885553198895918,0.999991842068806,"Stable"
"ENSG00000052795.13",1425.48888548016,0.0978735230235628,0.680089927827145,0.143912619521163,0.885569470487673,0.999991842068806,"Stable"
"ENSG00000102934.10",897.657723360836,-0.0713563318910703,0.49588395885599,-0.143897237683772,0.8855816169961,0.999991842068806,"Stable"
"ENSG00000182013.18",14.4034532405647,0.188857080567896,1.31267360914873,0.143872078521004,0.885601484380354,0.999991842068806,"Stable"
"ENSG00000102743.16",487.448646340109,0.0694555321160964,0.482821198509782,0.143853526585969,0.885616134294755,0.999991842068806,"Stable"
"ENSG00000153487.13",431.143916802517,-0.0354725858741214,0.246589818357601,-0.143852597444553,0.885616868011279,0.999991842068806,"Stable"
"ENSG00000274001.1",1.46108612937629,-0.323632374986273,2.25061402749853,-0.143797368643427,0.885660480799322,NA,"Stable"
"ENSG00000242732.6",102.553260790895,-0.0865727503805744,0.602215940822443,-0.143756989000229,0.885692367801944,0.999991842068806,"Stable"
"ENSG00000169762.17",603.736477076574,-0.0376936803250671,0.26227618937868,-0.143717507923085,0.885723545403759,0.999991842068806,"Stable"
"ENSG00000108107.15",20608.1819532385,0.0388295803890565,0.270181491055236,0.143716655931542,0.885724218210379,0.999991842068806,"Stable"
"ENSG00000003756.17",3006.13997513937,0.0408955651528215,0.284573103647572,0.143708469383208,0.885730683025128,0.999991842068806,"Stable"
