"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Change","Sig"
"RPS6KA6",22.6666666666667,71.6666666666667,0.631352921224132,0.560582733605441,1,-7.70450318853195,"Stable","Stable"
"FJX1",248.333333333333,1220.5,0.631313042567178,0.560606427572176,1,-7.70453162273979,"Stable","Stable"
"RPL23AP74",-0.631666666666667,1.31083333333333,-0.631024536393742,0.560777864062993,1,-7.70473728868291,"Stable","Stable"
"NUDCD1",199.666666666667,949.166333333333,0.6308491393439,0.560882105968181,1,-7.70486228512254,"Stable","Stable"
"TUSC2",-172.666333333334,1044.3335,-0.630684640515856,0.560979882702665,1,-7.70497948886324,"Stable","Stable"
"ATP6V1G2-DDX39B",16.972,52.242,0.630329918711256,0.561190765440905,1,-7.70523213855338,"Stable","Stable"
"ATF7IP2",25.3333333333333,140.333333333333,0.630316360520412,0.56119882686781,1,-7.70524179300834,"Stable","Stable"
"DCAF5",-73.000666666667,1789.83333333333,-0.63026719001747,0.561228063311275,1,-7.70527680467641,"Stable","Stable"
"BSG",743.997333333333,10864.3346666667,0.630244032073153,0.561241833221026,1,-7.70529329341964,"Stable","Stable"
"GET1",86.967333333333,1158.88866666667,0.63019845980304,0.561268931542594,1,-7.70532573997773,"Stable","Stable"
"ACHE",26.3333333333333,89.4993333333333,0.630137416743206,0.561305230531595,1,-7.70536919839365,"Stable","Stable"
"CBFA2T2",-36.9996666666666,668.500166666667,-0.630058068546726,0.561352416951334,1,-7.70542568359166,"Stable","Stable"
"C8orf44",6.14099999999999,33.4108333333333,0.630033989823602,0.561366736503252,1,-7.70544282322689,"Stable","Stable"
"WARS1",3037.377,27526.6385,0.629997209534033,0.561388610117012,1,-7.70546900300262,"Stable","Stable"
"GPC2",14.0003333333333,56.9998333333333,0.629952622408918,0.561415127304488,1,-7.70550073789703,"Stable","Stable"
"LYNX1-SLURP2",9.187,17.0085,0.629905796054597,0.56144297713025,1,-7.70553406456364,"Stable","Stable"
"ZBTB16",-366.333,1432.83283333333,-0.629883285768153,0.561456365382517,1,-7.70555008457375,"Stable","Stable"
"NRBF2",-105.667666666667,692.4995,-0.629876163081829,0.561460601727019,1,-7.70555515351357,"Stable","Stable"
"ATAD3C",16.7026666666667,25.4256666666667,0.629819717111397,0.561494174733306,1,-7.7055953222469,"Stable","Stable"
"OXA1L",637.666999999999,2883.16616666667,0.629475536316067,0.561698916244926,1,-7.70584018773413,"Stable","Stable"
"ITGB3BP",-43.4683333333334,219.733833333333,-0.629455014053618,0.561711125830472,1,-7.70585478468469,"Stable","Stable"
"USP25",-322.333666666666,4263.8335,-0.629448365138096,0.561715081597464,1,-7.70585951380063,"Stable","Stable"
"SINHCAF",224.392333333333,1945.61016666667,0.629402791079617,0.561742196351486,1,-7.70589192774997,"Stable","Stable"
"VPS51",479.284666666666,2681.64233333333,0.629322592170008,0.561789913653228,1,-7.70594896345479,"Stable","Stable"
"STXBP4",53.9996666666667,339.6665,0.629312686079871,0.56179580783633,1,-7.70595600803155,"Stable","Stable"
"LOC728554",65.2809999999999,348.395833333333,0.629274877719407,0.561818304419968,1,-7.7059828940725,"Stable","Stable"
"CDK6",-803.333,2465.00016666667,-0.62923242195284,0.561843567007025,1,-7.70601308335455,"Stable","Stable"
"S1PR5",5,6.16666666666667,0.629224041478719,0.561848553756903,1,-7.70601904231048,"Stable","Stable"
"ACO1",275.000666666667,3113.83333333333,0.62920791116873,0.56185815208298,1,-7.70603051162074,"Stable","Stable"
"IST1",-94.3359999999998,2879.165,-0.629162476722927,0.56188518840058,1,-7.70606281606279,"Stable","Stable"
"NKAP",-45.0700000000001,554.484666666667,-0.629135604351639,0.561901179542391,1,-7.70608192173642,"Stable","Stable"
"IFT46",-91.3330000000001,572.666833333333,-0.628988498170552,0.561988724532785,1,-7.70618649907873,"Stable","Stable"
"GLI1",-4.33333333333334,10.1666666666667,-0.628986784772118,0.561989744254687,1,-7.70618771700932,"Stable","Stable"
"SERPINB7",-5.33333333333333,8.33333333333333,-0.628814105699106,0.562092519860018,1,-7.70631044794972,"Stable","Stable"
"MSR1",-66.3333333333333,84.5,-0.628600097713059,0.56221991124768,1,-7.70646251454852,"Stable","Stable"
"DGKI",-21.6666666666667,64.1666666666667,-0.628566028263712,0.562240193376167,1,-7.70648671915641,"Stable","Stable"
"TTLL1-AS1",0.660000000000001,2.36066666666667,0.628379573886531,0.562351201576751,1,-7.70661916625966,"Stable","Stable"
"IGDCC4",-4.33333333333333,5.5,-0.628285963664712,0.562406939272287,1,-7.70668564963394,"Stable","Stable"
"RRAGA",-217.000000000001,2690.83333333333,-0.628220845949262,0.562445714057565,1,-7.70673189237034,"Stable","Stable"
"BABAM1",-183.915,1560.37616666667,-0.62806319720411,0.562539594506981,1,-7.70684382872113,"Stable","Stable"
"TUBGCP6",57.5309999999999,1088.32916666667,0.627975262989673,0.562591964250037,1,-7.70690625511164,"Stable","Stable"
"TSC22D2",-264.666666666667,1527.66666666667,-0.627916516529466,0.562626952876975,1,-7.70694795645527,"Stable","Stable"
"DMTF1",-60.1609999999998,1013.7075,-0.627570951124361,0.562832796706217,1,-7.70719319166272,"Stable","Stable"
