"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DGKD",0.000691135674351164,0.74669961777079,0.105,0.043,1
"LSM1",0.000695129503952246,0.383419290774121,0.287,0.17,1
"DHRS7",0.000695958627857849,0.508206844240974,0.275,0.163,1
"YBX3",0.000699311182204228,-0.799158807823618,0.55,0.588,1
"MRPS30",0.000700020361347778,0.556339881354948,0.158,0.077,1
"IFT122",0.000701731945582216,0.842392390973342,0.111,0.047,1
"EZH1",0.000709850566457603,0.783742835861355,0.105,0.043,1
"TSHZ2",0.000709862377964438,0.381816675874171,0.117,0.05,1
"USHBP1",0.000714590880307434,0.410405649259336,0.152,0.072,1
"PROCR",0.000718461198947045,0.388587121201751,0.211,0.114,1
"GPR137",0.000722696993680286,0.350282523768903,0.117,0.05,1
"R3HCC1",0.000723122034380035,0.500942894981391,0.152,0.073,1
"PPIH",0.000727724366897585,0.361558154791349,0.17,0.084,1
"MT1A",0.000728271298463011,-2.6404815604916,0.094,0.189,1
"EMC9",0.000743748878014529,0.425314948493511,0.123,0.054,1
"GGCT",0.000745594525671521,0.271367556856937,0.316,0.187,1
"PRR13",0.000747868240404905,0.26495619568916,0.45,0.288,1
"PWP1",0.000748960411441735,0.305732572500277,0.287,0.168,1
"C7",0.000762571429281257,-1.18905288463643,0.205,0.315,1
"SCFD1",0.000767135032172976,0.507747584610371,0.181,0.093,1
"PHAX",0.000770117315376588,0.447316808388624,0.175,0.088,1
"RAD51C",0.000774971153128259,0.349670884872966,0.146,0.069,1
"CBX1",0.000775175068904187,0.532424042604337,0.164,0.081,1
"LINC00961",0.000779524537846938,0.640445122416859,0.14,0.066,1
"RBM10",0.000780578823326657,0.411714931023004,0.152,0.073,1
"TKT",0.000782603899669848,0.339013700235992,0.316,0.194,1
"HMGXB4",0.000782845766611551,0.254691306952349,0.211,0.112,1
"FAM63B",0.000786149952810357,0.294378317928298,0.275,0.161,1
"RNASEH2A",0.000787471522796274,0.673106796172717,0.111,0.047,1
"THYN1",0.000787971106152801,0.35603750882563,0.222,0.121,1
"MT-ND4L",0.000789921711819513,-0.526154942081693,0.842,0.779,1
"GLT8D1",0.000795678006856695,0.338733594300505,0.187,0.096,1
"YWHAZ",0.00079623715009854,-0.752177815510302,0.591,0.578,1
"COQ9",0.000800247932117656,0.940771722470534,0.123,0.055,1
"CPSF3L",0.000804435801758637,0.380776439921953,0.216,0.117,1
"TTC9C",0.000806791352230785,0.555141754999763,0.135,0.062,1
"PCAT19",0.000816800085879401,-0.431890639389614,0.889,0.85,1
"AGAP2-AS1",0.000818022869651997,0.525435711868674,0.117,0.051,1
"ZNF462",0.000826417725908258,0.429905249034606,0.24,0.135,1
"PLCG2",0.00083462417583796,0.616137748253939,0.129,0.058,1
"NEK3",0.000836884310355126,0.729898761655274,0.117,0.051,1
"METTL14",0.000842258998260111,0.54772727212495,0.111,0.047,1
"BAG3",0.000842463212116525,-1.27520206701612,0.368,0.428,1
"C21orf2",0.000848389058427621,0.631964558697291,0.111,0.047,1
"CRADD",0.00085207684261994,0.557774219845966,0.14,0.066,1
"NIP7",0.000852981374435822,0.589238023033291,0.164,0.083,1
"MCOLN1",0.000855214183852846,0.301497163156312,0.181,0.092,1
"LYPLA2",0.000869185441871574,0.256897361069947,0.216,0.116,1
"TCAF1",0.000870342855973431,0.38547925603147,0.175,0.089,1
"ZNF780A",0.000873057333723778,0.940368152940487,0.111,0.048,1
"PTRH1",0.000874893721364824,0.582454003145421,0.175,0.091,1
"PPIC",0.000876995471893166,0.302652697197242,0.287,0.168,1
"EIF2B1",0.000878460855688397,0.538356474603012,0.129,0.058,1
"FAM136A",0.000878537338324148,0.339757174439362,0.14,0.066,1
"ZBTB38",0.000883880422326623,0.251270247103974,0.292,0.174,1
"TBRG4",0.000885693841097027,0.373279231501265,0.105,0.043,1
"GPANK1",0.000892269095841443,0.379009836029617,0.152,0.073,1
"ARV1",0.000894085325778665,0.578862013650323,0.111,0.047,1
"HAUS1",0.000895923314973743,0.516416149477952,0.211,0.115,1
"SOS1",0.000897154846328385,0.46133473328777,0.146,0.07,1
"RSL1D1",0.000897983073362286,0.320800366822348,0.392,0.252,1
"BORCS8",0.000899216963978727,0.527442808530929,0.135,0.062,1
"ENTPD3-AS1",0.000912246209736328,0.60218070421275,0.135,0.062,1
"FAM104A",0.000919522445682023,0.781897899306545,0.129,0.059,1
"MDK",0.000920355056346798,0.353452578952898,0.327,0.203,1
"MIF",0.000931283286366123,-0.481807666994571,0.865,0.768,1
"RUFY2",0.00094205404409922,0.53843458433871,0.111,0.047,1
"HACL1",0.000948094587326794,0.870359472617393,0.111,0.048,1
"NKAP",0.000948680820047306,0.303844564598608,0.24,0.135,1
"TFAM",0.000953416870130405,0.257979488619782,0.199,0.106,1
"MSR1",0.000964321899717522,0.416460620209866,0.111,0.047,1
"EIF3F",0.000971294190462938,0.263188746392373,0.626,0.432,1
"DEK",0.000973544752910322,0.284019835564233,0.526,0.349,1
"PCYOX1",0.000974827833138589,0.31288704796076,0.216,0.118,1
"GPALPP1",0.000975163375176865,0.653792296816035,0.123,0.055,1
"CCDC115",0.000979708292235587,0.385878158677913,0.199,0.107,1
"ZRSR2",0.000989988541365532,0.516649038590073,0.123,0.055,1
"PNO1",0.000992180234859393,0.270184656919267,0.14,0.066,1
"OTUD7B",0.000992397548931823,0.444840780792907,0.111,0.047,1
"AAED1",0.000993212417518791,0.266808568701234,0.257,0.148,1
"CDIPT",0.00101229484053611,0.33185202188227,0.287,0.17,1
