category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,2/116,71/9500,0.028169014084507043,2.306945118989801,1.2289314160136178,0.21494239049912164,0.5859738979083198,0.5036870554302726,HK1/PDGFRA,2
Human Diseases,Cancer: specific types,hsa05218,Melanoma,2/116,73/9500,0.0273972602739726,2.2437411431270666,1.1859834168634047,0.2239373358410648,0.5952076906863842,0.5116241698844122,CDH1/PDGFRA,2
Metabolism,Glycan biosynthesis and metabolism,hsa00532,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,1/116,21/9500,0.047619047619047616,3.8998357963875203,1.4790257365871191,0.22761572094217086,0.5952076906863842,0.5116241698844122,CSGALNACT1,1
Metabolism,Metabolism of cofactors and vitamins,hsa00770,Pantothenate and CoA biosynthesis,1/116,21/9500,0.047619047619047616,3.8998357963875203,1.4790257365871191,0.22761572094217086,0.5952076906863842,0.5116241698844122,PPCDC,1
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,4/116,201/9500,0.01990049751243781,1.6297821238634413,1.0033308661203029,0.23070533610856098,0.5952076906863842,0.5116241698844122,CCNA1/ARNT2/IL2RB/PAX5,4
Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,8/116,483/9500,0.016563146997929608,1.356464624830442,0.893990506287263,0.2371122724941941,0.5952076906863842,0.5116241698844122,CACNA1C/NDUFA10/PLCB1/COX7B2/SLC6A3/ITPR3/DNAH11/GNAQ,8
Metabolism,Energy metabolism,hsa00190,Oxidative phosphorylation,3/116,138/9500,0.021739130434782608,1.780359820089955,1.026653905589607,0.23768066313120123,0.5952076906863842,0.5116241698844122,LHPP/NDUFA10/COX7B2,3
Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,3/116,138/9500,0.021739130434782608,1.780359820089955,1.026653905589607,0.23768066313120123,0.5952076906863842,0.5116241698844122,PTPRF/HK1/SORBS1,3
Cellular Processes,Cell growth and death,hsa04114,Oocyte meiosis,3/116,139/9500,0.02158273381294964,1.7675514760605309,1.0135092754089925,0.24093531826242848,0.5952076906863842,0.5116241698844122,ADCY5/ITPR3/RPS6KA2,3
Organismal Systems,Endocrine system,hsa04614,Renin-angiotensin system,1/116,23/9500,0.043478260869565216,3.56071964017991,1.366987203234119,0.24640526046046973,0.5952076906863842,0.5116241698844122,PREP,1
Organismal Systems,Excretory system,hsa04964,Proximal tubule bicarbonate reclamation,1/116,23/9500,0.043478260869565216,3.56071964017991,1.366987203234119,0.24640526046046973,0.5952076906863842,0.5116241698844122,SLC38A3,1
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,3/116,142/9500,0.02112676056338028,1.7302088392423507,0.9747060830816556,0.25074388667177844,0.5952076906863842,0.5116241698844122,WWP2/SMURF1/MID1,3
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,5/116,278/9500,0.017985611510791366,1.4729595633837755,0.8898315280271225,0.252368400822025,0.5952076906863842,0.5116241698844122,LAMC1/CACNA1C/NDUFA10/COX7B2/ITPR3,5
Human Diseases,Drug resistance: antineoplastic,hsa01521,EGFR tyrosine kinase inhibitor resistance,2/116,80/9500,0.025,2.0474137931034484,1.0459520361576589,0.2556077080304807,0.5952076906863842,0.5116241698844122,PDGFRA/NRG1,2
Metabolism,Glycan biosynthesis and metabolism,hsa00534,Glycosaminoglycan biosynthesis - heparan sulfate / heparin,1/116,24/9500,0.041666666666666664,3.41235632183908,1.3155534269748825,0.2556293809402197,0.5952076906863842,0.5116241698844122,EXTL3,1
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,3/116,144/9500,0.020833333333333332,1.70617816091954,0.9493456416515239,0.25731686191245434,0.5952076906863842,0.5116241698844122,PLCB1/ITPR3/GNAQ,3
